City,Location,Cuisine,Ratings,No. of Reviews
0,9,2,4,234
0,9,6,4,234
0,3,26,4,890
0,3,10,4,890
0,3,15,4,890
0,3,40,4,890
0,3,39,4,890
0,3,7,4,890
0,3,27,4,890
0,1,6,3.6,1199
0,1,29,3.6,1199
0,1,34,3.6,1199
0,5,15,4.1,2066
0,5,39,4.1,2066
0,5,26,4.1,2066
0,0,35,4.1,223
0,0,7,4.1,223
0,0,36,4.1,223
0,0,46,4.1,223
0,0,33,4.1,223
0,0,15,4.1,223
0,3,29,3.9,1457
0,5,33,4.1,560
0,5,32,4.1,560
0,5,36,4.1,560
0,5,0,4.1,560
0,5,7,4.1,560
0,5,15,4.1,560
0,5,11,4.1,560
0,5,5,4.1,560
0,5,11,4.1,927
0,5,8,4.1,927
0,5,15,4.1,927
0,5,33,4.1,927
0,5,36,4.1,927
0,5,13,4.1,927
0,5,4,4.1,927
0,5,5,4.1,927
0,6,29,4.1,254
0,6,28,4.1,254
0,11,27,4.1,569
0,11,34,4.1,569
0,11,15,4.1,569
0,0,29,4.2,281
0,0,10,4.2,281
0,0,12,4.1,3704
0,0,29,4.1,3704
0,0,10,4.1,3704
0,9,33,4.3,640
0,9,7,4.3,640
0,9,38,4.3,640
0,9,36,4.3,640
0,9,5,4.3,640
0,9,15,4.3,640
0,5,4,4.4,449
0,5,13,4.4,449
0,5,15,4.4,449
0,5,19,4.4,2328
0,5,13,4.4,2328
0,5,5,4.4,2328
0,5,38,4.4,2328
0,9,29,4,166
0,9,5,4,166
0,9,13,4,166
0,9,17,4,166
0,5,29,3.8,625
0,5,33,3.8,625
0,5,15,3.8,625
0,5,10,3.8,625
0,5,20,3.8,625
0,5,39,3.8,625
0,5,35,3.8,625
0,5,5,3.8,625
0,0,29,3.6,2970
0,0,10,3.6,2970
0,0,15,3.6,2970
0,0,4,4.3,450
0,9,29,3.8,208
0,9,10,3.8,208
0,5,20,4,628
0,5,33,4,628
0,5,3,4,628
0,5,36,4,628
0,5,5,4,628
0,9,36,4,995
0,9,15,4,995
0,9,33,4,995
0,9,19,4,995
0,9,13,4,995
0,9,5,4,995
0,4,6,3.4,4881
0,4,10,3.4,4881
0,4,29,3.4,4881
0,9,15,4.2,312
0,9,40,4.2,312
0,0,29,3.9,297
0,0,23,3.9,297
0,0,28,3.9,297
0,0,6,3.9,297
0,0,10,3.9,297
0,6,39,3.5,2791
0,6,10,3.5,2791
0,6,15,3.5,2791
0,6,40,3.5,2791
0,6,5,3.5,2791
0,6,13,3.5,2791
0,6,33,3.5,2791
0,0,29,4,378
0,0,34,4,378
0,0,10,4,378
0,0,5,4,378
0,5,4,4,1241
0,1,10,4,271
0,1,39,4,271
0,1,15,4,271
0,1,5,4,271
0,11,29,3.3,366
0,11,10,3.3,366
0,11,28,3.3,366
0,11,15,3.3,366
0,11,6,3.3,366
0,5,29,3.8,103
0,11,13,4.1,170
0,11,15,4.1,170
0,11,10,4.1,170
0,11,5,4.1,170
0,1,10,4.2,247
0,1,27,4.2,247
0,1,29,4.2,247
0,1,5,4.2,247
